Gender,Marital Status,State or Province,Product Category
M,S,OR,Eggs
F,M,BC,Dairy
M,S,BC,Vegetables
M,M,WA,Jams and Jellies
M,S,Yucatan,Baking Goods
F,M,Yucatan,Breakfast Foods
M,S,WA,Vegetables
M,S,WA,Canned Sardines
F,M,Zacatecas,Canned Soup
M,M,Veracruz,Specialty
M,M,WA,Paper Products
M,S,Zacatecas,Carbonated Beverages
F,S,OR,Meat
M,M,Zacatecas,Electrical
M,M,CA,Dairy
F,S,CA,Breakfast Foods
F,M,DF,Candy
M,S,OR,Jams and Jellies
M,M,DF,Beer and Wine
F,S,Yucatan,Canned Soup
F,M,DF,Jams and Jellies
F,M,DF,Vegetables
M,M,WA,Electrical
F,S,BC,Specialty
F,S,Zacatecas,Carbonated Beverages
F,M,WA,Beer and Wine
M,M,CA,Dairy
F,S,OR,Snack Foods
F,S,OR,Vegetables
F,S,BC,Seafood
M,S,WA,Bread
M,S,OR,Bread
F,S,WA,Plastic Products
F,M,DF,Bread
F,M,Guerrero,Snack Foods
F,M,DF,Meat
M,M,BC,Meat
M,S,OR,Carbonated Beverages
F,M,OR,Pizza
F,M,OR,Vegetables
M,M,BC,Bread
F,M,OR,Snack Foods
M,M,DF,Dairy
M,S,DF,Breakfast Foods
F,S,OR,Canned Soup
F,S,OR,Snack Foods
M,M,CA,Carbonated Beverages
M,S,OR,Snack Foods
M,S,CA,Baking Goods
F,S,DF,Vegetables
M,M,WA,Pain Relievers
M,M,Zacatecas,Jams and Jellies
M,M,CA,Fruit
F,M,WA,Vegetables
M,M,Guerrero,Snack Foods
M,M,WA,Dairy
F,S,BC,Eggs
M,M,BC,Snack Foods
F,M,Yucatan,Starchy Foods
F,M,Yucatan,Electrical
M,M,Guerrero,Vegetables
M,M,DF,Vegetables
F,S,WA,Meat
F,M,CA,Vegetables
F,S,WA,Paper Products
M,S,Guerrero,Packaged Vegetables
F,S,DF,Dairy
M,S,WA,Snack Foods
F,M,Zacatecas,Magazines
M,S,Zacatecas,Eggs
M,S,Veracruz,Baking Goods
F,M,WA,Packaged Vegetables
F,M,WA,Vegetables
F,S,Guerrero,Side Dishes
M,S,CA,Electrical
F,M,CA,Snack Foods
M,M,OR,Frozen Desserts
F,M,Zacatecas,Seafood
M,M,DF,Pure Juice Beverages
M,S,BC,Seafood
M,S,BC,Vegetables
F,S,CA,Specialty
F,S,Guerrero,Fruit
M,M,CA,Snack Foods
F,M,CA,Baking Goods
M,M,BC,Jams and Jellies
M,S,CA,Pizza
M,M,CA,Fruit
M,M,Veracruz,Vegetables
F,S,BC,Bread
F,M,Zacatecas,Pain Relievers
F,M,Zacatecas,Hot Beverages
F,S,BC,Dairy
M,M,Yucatan,Side Dishes
M,M,WA,Dairy
F,M,DF,Jams and Jellies
F,M,Veracruz,Canned Anchovies
F,M,Veracruz,Magazines
F,S,OR,Canned Soup
F,M,CA,Candy
F,M,WA,Snack Foods
F,S,OR,Frozen Entrees
F,M,Yucatan,Canned Soup
F,M,WA,Eggs
M,S,CA,Bread
F,S,DF,Pure Juice Beverages
M,S,Zacatecas,Side Dishes
M,S,Veracruz,Frozen Desserts
F,S,Veracruz,Fruit
F,M,Jalisco,Vegetables
F,S,WA,Bathroom Products
M,M,WA,Electrical
M,S,Zacatecas,Vegetables
M,M,WA,Electrical
M,S,DF,Breakfast Foods
M,M,WA,Bread
F,M,WA,Vegetables
F,M,CA,Baking Goods
M,S,WA,Snack Foods
F,S,Guerrero,Dairy
M,S,DF,Canned Tuna
M,S,WA,Cleaning Supplies
F,S,DF,Electrical
M,S,DF,Jams and Jellies
M,S,Zacatecas,Bread
F,S,OR,Baking Goods
F,S,OR,Baking Goods
F,M,WA,Meat
F,M,Zacatecas,Bathroom Products
F,S,CA,Vegetables
F,S,Guerrero,Dairy
M,S,DF,Miscellaneous
M,S,BC,Pizza
F,S,CA,Plastic Products
M,M,CA,Starchy Foods
M,S,WA,Seafood
M,M,CA,Vegetables
F,S,Yucatan,Dairy
M,S,Zacatecas,Pain Relievers
M,M,Zacatecas,Hardware
M,S,BC,Canned Anchovies
M,S,BC,Meat
M,M,BC,Dairy
M,S,BC,Vegetables
M,M,WA,Starchy Foods
M,M,BC,Snack Foods
M,S,Zacatecas,Dairy
F,M,WA,Snack Foods
F,S,Zacatecas,Frozen Desserts
M,S,CA,Dairy
F,S,WA,Jams and Jellies
F,M,OR,Meat
M,S,OR,Snack Foods
F,M,Veracruz,Candy
F,M,BC,Vegetables
M,M,WA,Dairy
M,S,CA,Hot Beverages
M,M,WA,Snack Foods
M,M,BC,Hot Beverages
M,S,OR,Jams and Jellies
M,M,OR,Snack Foods
M,M,WA,Dairy
F,M,OR,Snack Foods
M,S,WA,Drinks
F,M,Zacatecas,Dairy
M,S,Guerrero,Bathroom Products
F,S,CA,Canned Soup
F,S,Veracruz,Vegetables
F,S,WA,Snack Foods
M,S,BC,Paper Products
F,S,OR,Vegetables
F,M,WA,Drinks
M,S,Zacatecas,Vegetables
M,M,WA,Snack Foods
F,S,DF,Bathroom Products
F,S,Yucatan,Canned Clams
F,S,WA,Snack Foods
F,S,CA,Meat
F,S,Zacatecas,Kitchen Products
F,M,Yucatan,Vegetables
F,M,BC,Jams and Jellies
M,S,BC,Bread
F,M,Guerrero,Dairy
F,M,Zacatecas,Carbonated Beverages
M,M,CA,Carbonated Beverages
F,S,DF,Candy
M,M,Zacatecas,Candles
M,M,Zacatecas,Plastic Products
M,S,Veracruz,Jams and Jellies
M,S,OR,Snack Foods
M,M,CA,Dairy
F,M,BC,Vegetables
F,M,CA,Electrical
M,S,WA,Canned Soup
M,S,CA,Snack Foods
M,S,OR,Fruit
F,S,OR,Canned Soup
F,S,OR,Fruit
F,S,Zacatecas,Dairy
F,S,WA,Snack Foods
M,S,BC,Breakfast Foods
M,S,BC,Electrical
M,S,CA,Meat
M,M,BC,Specialty
M,S,Zacatecas,Drinks
F,S,WA,Canned Soup
M,M,OR,Electrical
F,S,OR,Snack Foods
M,M,WA,Starchy Foods
M,S,Veracruz,Hygiene
F,S,BC,Frozen Desserts
M,M,Veracruz,Hygiene
F,M,Zacatecas,Snack Foods
M,S,Zacatecas,Seafood
M,S,WA,Jams and Jellies
M,S,OR,Dairy
M,M,WA,Meat
F,S,WA,Bread
F,M,Zacatecas,Fruit
F,S,WA,Fruit
F,M,DF,Snack Foods
M,M,Zacatecas,Eggs
F,M,BC,Starchy Foods
M,M,DF,Canned Soup
F,S,OR,Vegetables
M,S,OR,Vegetables
M,M,Guerrero,Snack Foods
M,S,OR,Pure Juice Beverages
M,M,OR,Baking Goods
F,M,Zacatecas,Vegetables
M,M,CA,Vegetables
M,M,WA,Electrical
M,M,CA,Vegetables
M,S,Zacatecas,Bread
M,S,OR,Vegetables
M,M,BC,Breakfast Foods
F,S,WA,Carbonated Beverages
F,M,CA,Meat
F,M,Zacatecas,Beer and Wine
F,S,BC,Specialty
F,S,CA,Vegetables
M,M,Yucatan,Canned Soup
M,S,DF,Vegetables
F,M,BC,Snack Foods
F,M,CA,Snack Foods
M,M,WA,Kitchen Products
F,M,Guerrero,Vegetables
F,S,CA,Vegetables
F,S,WA,Dairy
M,S,BC,Dairy
F,S,DF,Specialty
M,S,DF,Snack Foods
F,M,Yucatan,Hot Beverages
M,S,BC,Hygiene
M,M,BC,Electrical
F,M,BC,Snack Foods
M,M,Guerrero,Jams and Jellies
M,M,Zacatecas,Baking Goods
F,M,DF,Frozen Desserts
F,S,BC,Dairy
M,S,CA,Dairy
M,S,Yucatan,Specialty
M,M,OR,Vegetables
M,S,WA,Canned Soup
F,M,Zacatecas,Vegetables
F,S,BC,Canned Anchovies
M,S,BC,Kitchen Products
F,S,Yucatan,Snack Foods
F,S,Yucatan,Starchy Foods
M,M,DF,Canned Soup
M,S,Guerrero,Cleaning Supplies
M,M,BC,Hygiene
M,M,BC,Kitchen Products
F,M,BC,Baking Goods
M,S,BC,Breakfast Foods
M,M,CA,Jams and Jellies
F,M,CA,Meat
M,M,OR,Vegetables
M,S,DF,Jams and Jellies
M,S,WA,Canned Anchovies
F,M,WA,Baking Goods
F,S,OR,Meat
F,S,Guerrero,Bread
F,M,CA,Vegetables
F,S,Yucatan,Eggs
F,M,CA,Candles
M,M,DF,Vegetables
M,S,Jalisco,Fruit
M,S,OR,Decongestants
F,S,CA,Hardware
M,M,Yucatan,Dairy
M,M,OR,Snack Foods
M,M,CA,Meat
F,M,WA,Drinks
F,M,Zacatecas,Vegetables
F,S,WA,Drinks
M,S,Zacatecas,Meat
F,S,OR,Breakfast Foods
F,M,BC,Specialty
M,S,BC,Electrical
F,M,Zacatecas,Candy
F,S,Yucatan,Frozen Desserts
M,S,DF,Jams and Jellies
M,S,Guerrero,Jams and Jellies
M,M,OR,Starchy Foods
M,S,OR,Vegetables
M,S,WA,Canned Soup
F,S,OR,Vegetables
F,S,WA,Canned Tuna
F,S,Zacatecas,Hardware
F,S,DF,Dairy
M,M,Veracruz,Canned Clams
M,M,WA,Vegetables
F,S,Veracruz,Starchy Foods
F,M,Zacatecas,Snack Foods
F,M,Zacatecas,Bread
F,M,WA,Canned Soup
F,M,Veracruz,Meat
M,S,DF,Bread
M,M,DF,Fruit
M,M,CA,Pizza
M,M,WA,Vegetables
M,S,Zacatecas,Starchy Foods
F,S,Zacatecas,Snack Foods
M,S,OR,Specialty
F,M,CA,Canned Soup
M,M,CA,Canned Soup
F,M,CA,Vegetables
M,S,OR,Kitchen Products
M,S,BC,Fruit
M,S,OR,Dairy
M,M,OR,Jams and Jellies
M,S,Yucatan,Candy
M,M,DF,Cleaning Supplies
M,M,WA,Dairy
F,M,Veracruz,Seafood
F,S,WA,Vegetables
M,M,WA,Vegetables
M,S,WA,Fruit
M,S,Yucatan,Frozen Entrees
F,M,Guerrero,Snack Foods
F,S,Zacatecas,Cleaning Supplies
M,S,CA,Snack Foods
F,M,OR,Pain Relievers
M,M,Veracruz,Paper Products
F,M,CA,Bread
M,M,OR,Hot Beverages
M,S,BC,Fruit
M,S,BC,Breakfast Foods
M,S,WA,Canned Oysters
M,S,DF,Eggs
F,M,Zacatecas,Baking Goods
M,M,CA,Fruit
M,M,WA,Beer and Wine
M,S,BC,Dairy
M,S,OR,Meat
F,S,OR,Frozen Entrees
M,M,WA,Snack Foods
M,M,WA,Cold Remedies
F,M,Zacatecas,Bathroom Products
M,M,WA,Bread
M,M,WA,Snack Foods
M,S,WA,Dairy
M,S,Yucatan,Fruit
M,S,OR,Meat
F,M,BC,Dairy
F,M,Zacatecas,Paper Products
M,S,Zacatecas,Paper Products
F,S,Zacatecas,Frozen Entrees
F,S,BC,Vegetables
F,S,Zacatecas,Meat
F,M,BC,Beer and Wine
M,S,DF,Candy
M,S,Jalisco,Snack Foods
M,M,OR,Vegetables
M,S,WA,Baking Goods
M,S,DF,Snack Foods
M,S,Zacatecas,Specialty
M,M,BC,Bathroom Products
F,M,WA,Vegetables
M,M,WA,Vegetables
M,M,CA,Baking Goods
M,M,Guerrero,Baking Goods
M,S,Zacatecas,Drinks
F,S,CA,Baking Goods
F,M,WA,Pain Relievers
F,S,WA,Cleaning Supplies
M,M,DF,Dairy
M,M,WA,Hardware
F,M,Yucatan,Eggs
F,M,Veracruz,Bathroom Products
M,S,Veracruz,Paper Products
M,S,DF,Canned Shrimp
M,M,CA,Eggs
F,S,WA,Jams and Jellies
M,M,Zacatecas,Paper Products
M,S,BC,Starchy Foods
M,M,CA,Candy
M,S,CA,Dairy
M,M,WA,Carbonated Beverages
F,M,OR,Canned Soup
M,M,Zacatecas,Cold Remedies
F,M,Yucatan,Dairy
F,M,WA,Pizza
M,M,CA,Paper Products
F,M,DF,Jams and Jellies
M,S,WA,Pizza
F,S,DF,Fruit
M,M,CA,Hot Beverages
M,S,CA,Seafood
F,S,Zacatecas,Seafood
F,S,WA,Snack Foods
M,M,Veracruz,Canned Sardines
M,S,CA,Snack Foods
F,S,DF,Candy
M,S,WA,Vegetables
M,M,WA,Snack Foods
F,S,WA,Dairy
M,S,Zacatecas,Candy
F,M,Yucatan,Bread
F,M,WA,Bread
M,M,Yucatan,Plastic Products
M,M,BC,Meat
M,S,Zacatecas,Jams and Jellies
M,M,WA,Jams and Jellies
M,S,CA,Snack Foods
F,S,CA,Cold Remedies
M,S,CA,Kitchen Products
F,S,Zacatecas,Vegetables
M,M,BC,Frozen Desserts
M,S,BC,Vegetables
F,S,DF,Bread
M,S,DF,Dairy
F,S,OR,Plastic Products
M,M,WA,Canned Anchovies
F,S,CA,Fruit
F,S,Jalisco,Side Dishes
M,M,Zacatecas,Baking Goods
F,S,Veracruz,Magazines
F,M,WA,Pure Juice Beverages
M,S,Zacatecas,Seafood
F,S,OR,Meat
F,S,WA,Cleaning Supplies
M,M,DF,Snack Foods
F,S,Yucatan,Vegetables
M,S,WA,Hygiene
M,S,Zacatecas,Hot Beverages
M,S,OR,Jams and Jellies
F,M,CA,Starchy Foods
F,S,BC,Snack Foods
M,S,Zacatecas,Fruit
F,S,Zacatecas,Baking Goods
F,S,DF,Beer and Wine
F,M,DF,Starchy Foods
M,S,WA,Snack Foods
F,S,WA,Vegetables
F,M,Yucatan,Jams and Jellies
M,M,BC,Beer and Wine
M,S,WA,Carbonated Beverages
F,S,OR,Pizza
F,S,BC,Canned Soup
M,S,OR,Snack Foods
F,M,DF,Side Dishes
F,S,OR,Paper Products
F,S,OR,Frozen Desserts
M,M,WA,Vegetables
F,S,OR,Cleaning Supplies
M,S,WA,Side Dishes
M,M,Veracruz,Canned Soup
F,S,OR,Specialty
M,M,DF,Dairy
M,M,Zacatecas,Canned Soup
M,M,WA,Vegetables
M,M,CA,Vegetables
M,M,OR,Starchy Foods
F,M,WA,Plastic Products
M,S,OR,Eggs
M,S,CA,Snack Foods
M,M,CA,Electrical
F,M,DF,Canned Tuna
F,M,OR,Hardware
M,S,WA,Electrical
F,M,WA,Cleaning Supplies
M,S,WA,Fruit
M,M,WA,Drinks
M,M,CA,Pure Juice Beverages
F,S,BC,Jams and Jellies
F,S,BC,Canned Soup
M,S,OR,Pure Juice Beverages
M,M,OR,Plastic Products
F,S,Zacatecas,Vegetables
F,M,WA,Fruit
F,M,WA,Frozen Entrees
F,M,WA,Magazines
M,S,CA,Bread
M,M,Yucatan,Vegetables
F,M,Zacatecas,Dairy
M,S,OR,Fruit
F,M,CA,Pure Juice Beverages
F,M,Zacatecas,Fruit
F,S,Zacatecas,Meat
F,S,Guerrero,Frozen Desserts
F,S,WA,Frozen Desserts
F,M,WA,Canned Soup
F,M,BC,Meat
F,M,WA,Specialty
F,M,WA,Vegetables
M,M,Guerrero,Snack Foods
F,M,WA,Fruit
M,S,Zacatecas,Candy
M,M,BC,Fruit
M,S,Zacatecas,Dairy
M,M,WA,Frozen Desserts
M,S,CA,Vegetables
M,S,Zacatecas,Jams and Jellies
F,S,CA,Frozen Entrees
F,S,Guerrero,Vegetables
M,S,Guerrero,Vegetables
F,M,Zacatecas,Snack Foods
F,S,Yucatan,Canned Soup
M,M,Zacatecas,Dairy
M,M,DF,Pizza
F,S,BC,Dairy
F,M,CA,Canned Soup
F,M,WA,Fruit
M,M,WA,Vegetables
F,S,Zacatecas,Specialty
M,M,DF,Specialty
F,M,DF,Meat
M,M,Zacatecas,Bathroom Products
M,M,DF,Frozen Desserts
F,M,OR,Snack Foods
M,S,OR,Dairy
F,M,Zacatecas,Dairy
F,S,CA,Snack Foods
M,S,WA,Dairy
F,S,OR,Canned Oysters
M,M,DF,Eggs
F,M,DF,Jams and Jellies
M,M,BC,Snack Foods
M,M,DF,Fruit
M,S,WA,Candy
F,S,BC,Vegetables
M,S,BC,Vegetables
M,M,CA,Jams and Jellies
M,S,Yucatan,Dairy
M,S,DF,Beer and Wine
M,M,DF,Snack Foods
M,M,WA,Fruit
M,M,DF,Vegetables
M,M,DF,Starchy Foods
M,M,BC,Breakfast Foods
F,S,DF,Jams and Jellies
M,S,WA,Seafood
M,S,OR,Frozen Desserts
F,M,BC,Jams and Jellies
M,M,Zacatecas,Fruit
M,S,BC,Cleaning Supplies
M,M,WA,Candy
F,M,OR,Meat
M,S,WA,Bathroom Products
M,M,CA,Vegetables
M,S,WA,Jams and Jellies
F,M,Zacatecas,Breakfast Foods
F,S,DF,Electrical
F,M,OR,Baking Goods
F,S,WA,Meat
M,S,Guerrero,Vegetables
M,S,OR,Snack Foods
F,S,WA,Breakfast Foods
M,S,Yucatan,Snack Foods
F,M,WA,Specialty
F,S,WA,Dairy
M,S,DF,Hot Beverages
F,M,BC,Jams and Jellies
M,S,OR,Pain Relievers
M,S,OR,Fruit
F,S,WA,Side Dishes
M,S,WA,Dairy
F,M,WA,Snack Foods
F,M,WA,Bathroom Products
M,S,CA,Bathroom Products
F,M,WA,Bathroom Products
F,M,Yucatan,Snack Foods
F,S,WA,Fruit
F,S,WA,Vegetables
M,S,OR,Candy
F,S,Zacatecas,Canned Soup
M,M,BC,Breakfast Foods
F,M,DF,Cold Remedies
M,S,Zacatecas,Bathroom Products
M,S,BC,Starchy Foods
F,S,BC,Dairy
F,S,WA,Snack Foods
F,S,OR,Meat
M,S,WA,Paper Products
M,S,WA,Dairy
F,M,WA,Dairy
F,S,Jalisco,Breakfast Foods
M,M,WA,Carbonated Beverages
F,S,Zacatecas,Jams and Jellies
M,M,Yucatan,Packaged Vegetables
F,M,CA,Carbonated Beverages
M,M,OR,Jams and Jellies
M,M,CA,Vegetables
M,M,Guerrero,Bathroom Products
F,S,Guerrero,Magazines
M,M,BC,Snack Foods
M,M,Zacatecas,Frozen Entrees
M,S,Zacatecas,Vegetables
M,M,WA,Bread
M,M,WA,Vegetables
M,S,DF,Jams and Jellies
F,M,Zacatecas,Pain Relievers
M,M,Yucatan,Breakfast Foods
M,S,Zacatecas,Vegetables
F,S,CA,Eggs
F,S,CA,Vegetables
M,S,CA,Bathroom Products
M,M,WA,Vegetables
M,S,CA,Vegetables
M,S,CA,Dairy
F,M,OR,Breakfast Foods
F,S,DF,Frozen Entrees
F,M,OR,Dairy
M,M,WA,Meat
M,M,WA,Starchy Foods
F,M,Yucatan,Vegetables
M,M,WA,Vegetables
F,S,BC,Breakfast Foods
F,S,BC,Vegetables
M,S,BC,Meat
M,M,OR,Vegetables
F,S,CA,Pain Relievers
M,S,Zacatecas,Meat
F,S,WA,Paper Products
F,M,DF,Breakfast Foods
M,S,WA,Baking Goods
F,M,Yucatan,Specialty
F,S,CA,Vegetables
F,M,WA,Bathroom Products
F,S,WA,Drinks
F,S,CA,Bathroom Products
M,M,Yucatan,Fruit
F,S,OR,Vegetables
F,S,Yucatan,Pizza
F,S,Yucatan,Bathroom Products
F,S,Zacatecas,Bathroom Products
M,M,Zacatecas,Starchy Foods
F,M,OR,Frozen Desserts
F,S,OR,Bread
F,S,Zacatecas,Snack Foods
F,M,DF,Snack Foods
F,M,BC,Bread
M,M,DF,Vegetables
M,S,Zacatecas,Bathroom Products
M,S,Zacatecas,Pizza
F,S,CA,Beer and Wine
F,M,OR,Snack Foods
M,M,CA,Snack Foods
F,S,OR,Dairy
F,S,WA,Canned Soup
F,M,WA,Canned Soup
F,M,Guerrero,Vegetables
M,M,WA,Snack Foods
M,S,Guerrero,Eggs
F,S,WA,Paper Products
M,S,CA,Breakfast Foods
F,S,DF,Electrical
M,M,OR,Fruit
F,S,Veracruz,Fruit
F,M,WA,Canned Soup
F,S,Zacatecas,Beer and Wine
F,S,Zacatecas,Breakfast Foods
M,M,DF,Bathroom Products
F,S,DF,Bathroom Products
F,S,OR,Snack Foods
F,S,Zacatecas,Frozen Entrees
M,M,Zacatecas,Canned Oysters
F,S,Veracruz,Starchy Foods
M,S,WA,Eggs
F,M,DF,Snack Foods
F,M,DF,Vegetables
F,S,WA,Starchy Foods
F,S,CA,Vegetables
M,S,Zacatecas,Vegetables
M,M,OR,Vegetables
F,S,CA,Pizza
F,S,WA,Beer and Wine
M,M,OR,Eggs
M,S,OR,Vegetables
M,S,BC,Snack Foods
F,S,BC,Paper Products
M,M,WA,Snack Foods
F,S,Yucatan,Plastic Products
M,S,Yucatan,Snack Foods
M,S,OR,Bathroom Products
M,S,WA,Vegetables
F,M,OR,Vegetables
M,S,Guerrero,Fruit
M,S,DF,Specialty
F,M,Veracruz,Canned Soup
M,M,BC,Hygiene
M,S,WA,Candy
M,S,Guerrero,Canned Soup
F,S,Yucatan,Kitchen Products
M,S,Veracruz,Specialty
M,S,OR,Snack Foods
F,M,BC,Fruit
F,M,Jalisco,Dairy
F,M,DF,Snack Foods
M,S,CA,Snack Foods
M,S,BC,Frozen Desserts
F,S,Yucatan,Pain Relievers
M,M,Jalisco,Fruit
F,S,BC,Vegetables
M,M,BC,Snack Foods
F,M,WA,Candles
M,M,DF,Dairy
M,S,OR,Canned Soup
F,S,DF,Carbonated Beverages
F,S,WA,Snack Foods
F,S,BC,Canned Shrimp
M,M,Veracruz,Meat
F,S,OR,Dairy
M,S,WA,Canned Soup
F,M,Zacatecas,Meat
M,S,Guerrero,Vegetables
M,S,Yucatan,Breakfast Foods
M,S,CA,Snack Foods
F,M,WA,Snack Foods
M,S,CA,Jams and Jellies
F,S,WA,Seafood
M,S,Zacatecas,Bread
F,S,WA,Magazines
F,M,CA,Breakfast Foods
M,S,Zacatecas,Vegetables
F,S,Zacatecas,Bread
M,S,OR,Specialty
F,M,WA,Hot Beverages
F,S,WA,Pain Relievers
F,S,Veracruz,Electrical
F,M,CA,Magazines
F,M,BC,Beer and Wine
F,S,DF,Vegetables
M,S,OR,Magazines
F,M,OR,Electrical
F,S,WA,Electrical
M,M,Yucatan,Frozen Desserts
M,M,OR,Hygiene
M,M,OR,Pure Juice Beverages
M,M,CA,Vegetables
F,M,WA,Breakfast Foods
M,M,CA,Meat
F,S,CA,Vegetables
F,S,WA,Meat
M,S,BC,Frozen Desserts
F,S,OR,Carbonated Beverages
M,M,DF,Snack Foods
M,S,Zacatecas,Meat
F,S,OR,Vegetables
F,M,Yucatan,Pure Juice Beverages
M,S,WA,Vegetables
M,S,WA,Bathroom Products
F,M,Zacatecas,Dairy
F,M,Zacatecas,Breakfast Foods
F,M,Zacatecas,Meat
M,M,BC,Breakfast Foods
M,S,Yucatan,Pizza
F,M,Yucatan,Dairy
M,M,BC,Pure Juice Beverages
F,S,Zacatecas,Bread
F,S,Yucatan,Snack Foods
M,M,Yucatan,Breakfast Foods
F,M,Zacatecas,Fruit
F,S,WA,Carbonated Beverages
M,M,Zacatecas,Bathroom Products
F,M,Veracruz,Jams and Jellies
M,M,Zacatecas,Baking Goods
M,M,CA,Snack Foods
F,M,WA,Hot Beverages
M,M,WA,Snack Foods
M,S,WA,Jams and Jellies
F,M,DF,Plastic Products
F,M,WA,Fruit
F,M,Zacatecas,Candy
M,M,BC,Bathroom Products
M,S,DF,Vegetables
M,S,DF,Dairy
M,S,OR,Baking Goods
F,M,WA,Meat
M,S,WA,Frozen Desserts
F,S,Zacatecas,Eggs
M,M,CA,Vegetables
F,M,Guerrero,Electrical
M,M,OR,Eggs
M,S,BC,Starchy Foods
F,M,Yucatan,Drinks
F,S,OR,Dairy
M,M,OR,Snack Foods
F,M,WA,Vegetables
F,M,WA,Paper Products
M,M,WA,Dairy
F,M,WA,Candy
F,S,CA,Canned Soup
F,M,CA,Snack Foods
F,S,WA,Specialty
F,M,Yucatan,Jams and Jellies
M,M,Zacatecas,Dairy
F,M,Zacatecas,Dairy
M,M,WA,Meat
F,M,WA,Snack Foods
M,M,DF,Paper Products
M,S,BC,Cleaning Supplies
M,M,WA,Meat
M,M,WA,Dairy
M,M,DF,Vegetables
M,S,BC,Carbonated Beverages
M,M,Zacatecas,Beer and Wine
F,S,Yucatan,Baking Goods
M,M,Yucatan,Candy
M,S,CA,Vegetables
M,S,DF,Jams and Jellies
M,S,BC,Snack Foods
M,S,BC,Fruit
M,S,WA,Canned Soup
M,S,WA,Electrical
M,S,DF,Dairy
F,M,WA,Meat
F,M,DF,Meat
F,M,CA,Frozen Desserts
M,S,BC,Bathroom Products
F,S,BC,Canned Soup
F,S,DF,Canned Soup
F,M,Veracruz,Snack Foods
M,S,DF,Dairy
M,S,WA,Specialty
F,S,BC,Breakfast Foods
F,S,WA,Meat
F,S,Zacatecas,Starchy Foods
M,M,DF,Canned Anchovies
M,S,OR,Bathroom Products
M,S,Guerrero,Bathroom Products
M,M,Yucatan,Bread
M,S,Yucatan,Canned Soup
M,S,DF,Fruit
F,S,WA,Breakfast Foods
M,S,WA,Pure Juice Beverages
M,S,WA,Decongestants
F,M,CA,Jams and Jellies
M,S,WA,Starchy Foods
F,S,WA,Fruit
M,S,OR,Electrical
F,S,CA,Dairy
F,S,Guerrero,Pizza
F,M,WA,Specialty
M,M,WA,Snack Foods
M,S,WA,Snack Foods
M,S,Zacatecas,Snack Foods
F,M,Zacatecas,Canned Soup
F,M,WA,Snack Foods
F,M,WA,Breakfast Foods
M,M,Yucatan,Dairy
F,S,OR,Snack Foods
M,M,DF,Beer and Wine
M,S,OR,Jams and Jellies
M,M,OR,Hygiene
F,S,WA,Snack Foods
F,S,WA,Specialty
F,S,WA,Snack Foods
F,S,Veracruz,Fruit
F,M,BC,Paper Products
F,M,Veracruz,Candy
F,M,DF,Electrical
F,S,BC,Fruit
M,M,BC,Vegetables
M,M,OR,Jams and Jellies
M,S,OR,Packaged Vegetables
F,S,Veracruz,Frozen Desserts
M,S,Yucatan,Vegetables
M,S,BC,Vegetables
F,M,WA,Pain Relievers
F,M,CA,Drinks
M,S,Guerrero,Pure Juice Beverages
F,M,Zacatecas,Baking Goods
F,S,OR,Baking Goods
F,S,WA,Dairy
M,M,CA,Candy
F,M,Veracruz,Meat
M,M,BC,Bathroom Products
M,M,Guerrero,Plastic Products
F,M,WA,Magazines
M,S,DF,Bread
F,M,CA,Frozen Desserts
F,S,WA,Hardware
M,M,CA,Snack Foods
M,S,CA,Hardware
M,M,BC,Hygiene
M,M,OR,Bread
M,M,BC,Vegetables
M,M,CA,Jams and Jellies
M,M,OR,Baking Goods
M,S,OR,Vegetables
F,S,Veracruz,Frozen Desserts
F,S,Guerrero,Starchy Foods
F,S,DF,Dairy
M,M,WA,Fruit
M,M,DF,Canned Tuna
M,S,WA,Breakfast Foods
M,S,Zacatecas,Snack Foods
F,S,Zacatecas,Eggs
F,M,WA,Frozen Entrees
M,S,WA,Dairy
F,M,Zacatecas,Drinks
F,M,WA,Vegetables
M,S,WA,Cold Remedies
M,M,WA,Fruit
F,S,OR,Snack Foods
F,M,DF,Kitchen Products
F,S,Zacatecas,Electrical
M,M,WA,Hygiene
M,M,WA,Pure Juice Beverages
F,S,WA,Meat
M,M,WA,Paper Products
M,S,CA,Snack Foods
M,S,CA,Pain Relievers
M,M,DF,Meat
M,M,BC,Vegetables
M,M,Yucatan,Dairy
M,M,WA,Dairy
F,S,DF,Hardware
F,M,WA,Meat
M,S,DF,Snack Foods
F,S,Veracruz,Fruit
F,M,Yucatan,Candy
M,S,CA,Meat
M,M,OR,Fruit
M,S,WA,Plastic Products
F,S,CA,Baking Goods
F,M,DF,Snack Foods
F,S,CA,Meat
M,M,DF,Dairy
F,M,WA,Fruit
M,S,Guerrero,Beer and Wine
F,S,BC,Beer and Wine
M,M,Veracruz,Jams and Jellies
M,S,WA,Beer and Wine
F,S,Zacatecas,Eggs
M,S,Yucatan,Bread
F,S,CA,Cold Remedies
F,S,WA,Candy
F,S,BC,Vegetables
M,M,OR,Snack Foods
F,M,CA,Candy
M,M,Veracruz,Vegetables
F,M,Guerrero,Electrical
M,S,CA,Vegetables
M,M,Guerrero,Starchy Foods
M,S,CA,Breakfast Foods
M,M,Yucatan,Hot Beverages
M,S,Yucatan,Hygiene
M,S,Guerrero,Eggs
F,M,Yucatan,Breakfast Foods
F,S,OR,Bathroom Products
